,ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
320,30426,Indiana,Place found,40.0,-86.0
322,30429,Indiana,Place found,40.0,-86.0
324,30431,M̩xico,Place found,23.0,-102.0
326,30432,M̩xico,Place found,23.0,-102.0
328,30433,Indiana,Place found,40.0,-86.0
330,30436,Indiana,Place found,40.0,-86.0
332,30438,M̩xico,Place found,23.0,-102.0
334,30439,M̩xico,Place found,23.0,-102.0
335,30440,Michigan,Place found,44.0,-85.0
337,30441,Michigan,Place found,44.0,-85.0
339,30442,M̩xico,Place found,23.0,-102.0
342,30443,Michigan,Place found,44.0,-85.0
344,30445,M̩xico,Place found,23.0,-102.0
345,30446,Michigan,Place found,44.0,-85.0
347,30447,Ohio,Place found,40.0,-80.83
349,30448,M̩xico,Place found,23.0,-102.0
350,30450,Ohio,Place found,40.0,-80.83
352,30451,Ohio,Place found,40.0,-80.83
354,30452,United States of America,Place found,38.0,-98.0
356,30453,England,Place Made,53.0,-2.0
357,30454,Michigan,Place found,44.0,-85.0
359,30455,United States of America,Place found,38.0,-98.0
361,30456,United States of America,Place found,38.0,-98.0
366,30457,France,Place Made,46.0,2.0
367,30458,United States of America,Place found,38.0,-98.0
369,30459,United States of America,Place found,38.0,-98.0
371,30460,United States of America,Place found,38.0,-98.0
373,30461,France,Place Made,46.0,2.0
374,30462,United States of America,Place found,38.0,-98.0
376,30463,United States of America,Place found,38.0,-98.0
378,30466,United States of America,Place found,38.0,-98.0
380,30467,United States of America,Place found,38.0,-98.0
382,30468,Arizona,Place found,34.0,-112.0
384,30469,Arizona,Place found,34.0,-112.0
385,30470,United States of America,Place found,38.0,-98.0
387,30471,United States of America,Place found,38.0,-98.0
389,30472,Alaska,Place found,65.0,-153.0
391,30475,United States of America,Place found,38.0,-98.0
393,30476,New Mexico,Place found,35.0,-105.0
395,30477,United States of America,Place found,38.0,-98.0
398,30480,United States of America,Place found,38.0,-98.0
400,30481,Alaska,Place found,65.0,-153.0
402,30485,United States of America,Place found,38.0,-98.0
404,30486,United States of America,Place found,38.0,-98.0
406,30491,United States of America,Place found,38.0,-98.0
408,30493,United States of America,Place found,38.0,-98.0
410,30494,United States of America,Place found,38.0,-98.0
412,30496,United States of America,Place found,38.0,-98.0
414,30500,United States of America,Place found,38.0,-98.0
416,30501,United States of America,Place found,38.0,-98.0
418,30504,Ohio,Place found,40.0,-80.83
420,30505,United States of America,Place found,38.0,-98.0
422,30506,Ohio,Place found,40.0,-80.83
424,30507,South Carolina,Place found,34.0,-80.0
425,30508,United States of America,Place found,38.0,-98.0
427,30512,United States of America,Place found,38.0,-98.0
429,30513,United States of America,Place found,38.0,-98.0
431,30514,United States of America,Place found,38.0,-98.0
433,30515,United States of America,Place found,38.0,-98.0
435,30519,Tennessee,Place found,35.5,-85.0
437,30521,Missouri,Place found,38.0,-98.0
439,30526,Illinois,Place found,40.0,-89.0
440,30527,Illinois,Place found,40.0,-89.0
441,30530,Missouri,Place found,38.0,-98.0
442,30531,Missouri,Place found,38.0,-98.0
444,30537,Kansas,Place found,38.67,-98.0
446,30538,Illinois,Place found,40.0,-89.0
448,30539,Ohio,Place found,40.0,-80.83
449,30541,Illinois,Place found,40.0,-89.0
451,30542,Illinois,Place found,40.0,-89.0
452,30544,Missouri,Place found,38.0,-98.0
454,30547,Illinois,Place found,40.0,-89.0
456,30549,Arkansas,Place found,35.0,-93.0
460,30550,Arkansas,Place found,35.0,-93.0
464,30551,Ouachita River,Place found,34.68,-94.32
469,30552,Arkansas,Place found,35.0,-93.0
471,30554,Arkansas,Place found,35.0,-93.0
475,30555,Arkansas,Place found,35.0,-93.0
478,30556,Arkansas,Place found,35.0,-93.0
483,30557,Arkansas,Place found,35.0,-93.0
486,30558,Ouachita River,Place found,34.68,-94.32
491,30559,Arkansas,Place found,35.0,-93.0
494,30560,Arkansas,Place found,35.0,-93.0
498,30561,Arkansas,Place found,35.0,-93.0
501,30562,Arkansas,Place found,35.0,-93.0
505,30563,Arkansas,Place found,35.0,-93.0
508,30564,Arkansas,Place found,35.0,-93.0
511,30565,Ouachita River,Place found,34.68,-94.32
516,30566,Ouachita River,Place found,34.68,-94.32
521,30567,Ouachita River,Place found,34.68,-94.32
526,30568,Ohio,Place found,40.0,-80.83
528,30569,Arkansas,Place found,35.0,-93.0
531,30570,Ouachita River,Place found,34.68,-94.32
536,30571,Louisiana,Place found,31.0,-92.0
538,30572,Arkansas,Place found,35.0,-93.0
541,30573,Arkansas,Place found,35.0,-93.0
544,30574,Arkansas,Place found,35.0,-93.0
547,30575,Illinois,Place found,40.0,-89.0
549,30576,Illinois,Place found,40.0,-89.0
551,30577,Ohio,Place found,40.0,-80.83
553,30578,Illinois,Place found,40.0,-89.0
555,30579,Kentucky,Place found,37.0,-85.0
557,30580,Michigan,Place found,44.0,-85.0
559,30581,Illinois,Place found,40.0,-89.0
561,30582,Missouri,Place found,38.0,-98.0
563,30583,East of Rockies,Place found,,
564,30584,Ohio,Place found,40.0,-80.83
566,30585,Ohio,Place found,40.0,-80.83
568,30586,Missouri,Place found,38.0,-98.0
570,30587,Illinois,Place found,40.0,-89.0
572,30588,East Pennsylvania,Place found,,
573,30589,Missouri,Place found,38.0,-98.0
575,30590,Tennessee,Place found,35.5,-85.0
577,30591,East of Rockies,Place found,,
578,30592,East of Rockies,Place found,,
579,30593,Illinois,Place found,40.0,-89.0
581,30594,Illinois,Place found,40.0,-89.0
583,30595,Oklahoma,Place found,35.0,-98.0
585,30596,Kentucky,Place found,37.0,-85.0
587,30597,Missouri,Place found,38.0,-98.0
589,30598,Kentucky,Place found,37.0,-85.0
591,30599,Missouri,Place found,38.0,-98.0
594,30600,Illinois,Place found,40.0,-89.0
596,30601,Illinois,Place found,40.0,-89.0
598,30602,Illinois,Place found,40.0,-89.0
600,30603,Illinois,Place found,40.0,-89.0
602,30604,Illinois,Place found,40.0,-89.0
604,30605,Kentucky,Place found,37.0,-85.0
606,30606,Indiana,Place found,40.0,-86.0
608,30607,East of Rockies,Place found,,
609,30608,Illinois,Place found,40.0,-89.0
611,30609,Illinois,Place found,40.0,-89.0
613,30610,Tennessee,Place found,35.5,-85.0
615,30611,Tennessee,Place found,35.5,-85.0
618,30612,Indiana,Place found,40.0,-86.0
621,30613,Wisconsin,Place found,45.0,-90.0
623,30614,Illinois,Place found,40.0,-89.0
625,30615,East of Rockies,Place found,,
626,30616,Arkansas,Place found,35.0,-93.0
630,30617,Illinois,Place found,40.0,-89.0
633,30618,Ohio,Place found,40.0,-80.83
635,30619,East of Rockies,Place found,,
636,30620,Oklahoma,Place found,35.0,-98.0
638,30622,Oklahoma,Place found,35.0,-98.0
640,30623,United States of America,Place found,38.0,-98.0
642,30624,Oklahoma,Place found,35.0,-98.0
644,30625,Oklahoma,Place found,35.0,-98.0
646,30627,Oklahoma,Place found,35.0,-98.0
648,30628,Oklahoma,Place found,35.0,-98.0
650,30629,Alaska,Place found,65.0,-153.0
651,30630,Oklahoma,Place found,35.0,-98.0
653,30632,Illinois,Place found,40.0,-89.0
655,30633,Kentucky,Place found,37.0,-85.0
657,30634,Tennessee,Place found,35.5,-85.0
658,30635,Missouri,Place found,38.0,-98.0
662,30637,Ohio,Place found,40.0,-80.83
665,30638,Kentucky,Place found,37.0,-85.0
667,30639,Missouri,Place found,38.0,-98.0
669,30640,Ouachita River,Place found,34.68,-94.32
673,30641,Illinois,Place found,40.0,-89.0
674,30642,Illinois,Place found,40.0,-89.0
676,30643,Illinois,Place found,40.0,-89.0
678,30645,Illinois,Place found,40.0,-89.0
680,30646,Missouri,Place found,38.0,-98.0
682,30647,Ohio,Place found,40.0,-80.83
684,30649,Ohio,Place found,40.0,-80.83
686,30650,Indiana,Place found,40.0,-86.0
688,30651,Kentucky,Place found,37.0,-85.0
690,30652,Illinois,Place found,40.0,-89.0
691,30653,Missouri,Place found,38.0,-98.0
693,30654,Arkansas,Place found,35.0,-93.0
699,30655,Illinois,Place found,40.0,-89.0
702,30656,Tennessee,Place found,35.5,-85.0
704,30657,Tennessee,Place found,35.5,-85.0
706,30658,Tennessee,Place found,35.5,-85.0
708,30659,Illinois,Place found,40.0,-89.0
710,30660,Illinois,Place found,40.0,-89.0
712,30661,Missouri,Place found,38.0,-98.0
714,30662,Missouri,Place found,38.0,-98.0
716,30663,Illinois,Place found,40.0,-89.0
718,30664,Illinois,Place found,40.0,-89.0
720,30665,Missouri,Place found,38.0,-98.0
722,30666,Illinois,Place found,40.0,-89.0
724,30668,Illinois,Place found,40.0,-89.0
726,30669,Illinois,Place found,40.0,-89.0
728,30670,Illinois,Place found,40.0,-89.0
730,30671,Illinois,Place found,40.0,-89.0
733,30672,Illinois,Place found,40.0,-89.0
735,30673,Illinois,Place found,40.0,-89.0
736,30674,Kentucky,Place found,37.0,-85.0
738,30675,Illinois,Place found,40.0,-89.0
740,30676,Illinois,Place found,40.0,-89.0
742,30677,Tennessee,Place found,35.5,-85.0
744,30678,Missouri,Place found,38.0,-98.0
746,30679,Illinois,Place found,40.0,-89.0
748,30681,Illinois,Place found,40.0,-89.0
750,30684,Michigan,Place found,44.0,-85.0
752,30685,Illinois,Place found,40.0,-89.0
754,30686,Illinois,Place found,40.0,-89.0
755,30688,Illinois,Place found,40.0,-89.0
757,30689,Missouri,Place found,38.0,-98.0
759,30691,Illinois,Place found,40.0,-89.0
761,30692,Illinois,Place found,40.0,-89.0
763,30693,Missouri,Place found,38.0,-98.0
766,30694,Missouri,Place found,38.0,-98.0
768,30696,Illinois,Place found,40.0,-89.0
770,30699,Ouachita River,Place found,34.68,-94.32
775,30700,Ouachita River,Place found,34.68,-94.32
780,30701,Missouri,Place found,38.0,-98.0
782,30702,Ouachita River,Place found,34.68,-94.32
787,30703,Ouachita River,Place found,34.68,-94.32
792,30704,Arkansas,Place found,35.0,-93.0
795,30706,Arkansas,Place found,35.0,-93.0
798,30707,Arkansas,Place found,35.0,-93.0
801,30713,Ouachita River,Place found,34.68,-94.32
806,30714,Arkansas,Place found,35.0,-93.0
809,30715,Arkansas,Place found,35.0,-93.0
812,30716,Arkansas,Place found,35.0,-93.0
815,30718,Arkansas,Place found,35.0,-93.0
819,30719,Ouachita River,Place found,34.68,-94.32
824,30720,Arkansas,Place found,35.0,-93.0
827,30721,Ouachita River,Place found,34.68,-94.32
832,30722,Arkansas,Place found,35.0,-93.0
835,30723,Arkansas,Place found,35.0,-93.0
838,30724,Arkansas,Place found,35.0,-93.0
841,30725,Arkansas,Place found,35.0,-93.0
844,30727,Arkansas,Place found,35.0,-93.0
848,30730,Arkansas,Place found,35.0,-93.0
851,30734,Arkansas,Place found,35.0,-93.0
854,30736,Ouachita River,Place found,34.68,-94.32
859,30738,Arkansas,Place found,35.0,-93.0
863,30739,Arkansas,Place found,35.0,-93.0
867,30740,Ouachita River,Place found,34.68,-94.32
872,30742,Arkansas,Place found,35.0,-93.0
875,30743,Arkansas,Place found,35.0,-93.0
878,30745,Arkansas,Place found,35.0,-93.0
882,30746,Arkansas,Place found,35.0,-93.0
885,30750,Ouachita River,Place found,34.68,-94.32
890,30752,Ouachita River,Place found,34.68,-94.32
895,30754,Ouachita River,Place found,34.68,-94.32
900,30755,Ouachita River,Place found,34.68,-94.32
905,30756,Ouachita River,Place found,34.68,-94.32
910,30757,Ouachita River,Place found,34.68,-94.32
915,30760,Ouachita River,Place found,34.68,-94.32
920,30762,Ouachita River,Place found,34.68,-94.32
925,30763,Ouachita River,Place found,34.68,-94.32
930,30764,Ouachita River,Place found,34.68,-94.32
935,30767,Ouachita River,Place found,34.68,-94.32
940,30768,Ouachita River,Place found,34.68,-94.32
945,30770,Ouachita River,Place found,34.68,-94.32
950,30773,Ouachita River,Place found,34.68,-94.32
955,30775,Ouachita River,Place found,34.68,-94.32
960,30777,Arkansas,Place found,35.0,-93.0
964,30779,Ouachita River,Place found,34.68,-94.32
969,30780,Ouachita River,Place found,34.68,-94.32
974,30783,Ouachita River,Place found,34.68,-94.32
979,30784,Ouachita River,Place found,34.68,-94.32
984,30788,Ouachita River,Place found,34.68,-94.32
989,30789,Ouachita River,Place found,34.68,-94.32
994,30790,Ouachita River,Place found,34.68,-94.32
999,30791,Ouachita River,Place found,34.68,-94.32
1004,30792,Ouachita River,Place found,34.68,-94.32
1009,30794,Arkansas,Place found,35.0,-93.0
1012,30795,Ouachita River,Place found,34.68,-94.32
1017,30796,Ouachita River,Place found,34.68,-94.32
1022,30799,Ouachita River,Place found,34.68,-94.32
1027,30802,Arkansas,Place found,35.0,-93.0
1030,30803,Tennessee,Place found,35.5,-85.0
1031,30805,Missouri,Place found,38.0,-98.0
1033,30806,Ouachita River,Place found,34.68,-94.32
1038,30807,Illinois,Place found,40.0,-89.0
1040,30809,Michigan,Place found,44.0,-85.0
1042,30810,Kentucky,Place found,37.0,-85.0
1044,30811,Michigan,Place found,44.0,-85.0
1047,30812,Missouri,Place found,38.0,-98.0
1049,30813,Ohio,Place found,40.0,-80.83
1052,30814,Ohio,Place found,40.0,-80.83
1054,30815,Missouri,Place found,38.0,-98.0
1055,30817,Ohio,Place found,40.0,-80.83
1056,30818,Indiana,Place found,40.0,-86.0
1058,30820,Indiana,Place found,40.0,-86.0
1060,30821,Illinois,Place found,40.0,-89.0
1062,30822,Tennessee,Place found,35.5,-85.0
1064,30823,Missouri,Place found,38.0,-98.0
1067,30824,Ohio,Place found,40.0,-80.83
1068,30825,Illinois,Place found,40.0,-89.0
1071,30826,Ohio,Place found,40.0,-80.83
1073,30827,Illinois,Place found,40.0,-89.0
1075,30828,Alaska,Place found,65.0,-153.0
1077,30829,Indiana,Place found,40.0,-86.0
1079,30830,Indiana,Place found,40.0,-86.0
1081,30831,Missouri,Place found,38.0,-98.0
1084,30832,Arkansas,Place found,35.0,-93.0
1088,30834,Missouri,Place found,38.0,-98.0
1091,30838,Indiana,Place found,40.0,-86.0
1093,30839,Indiana,Place found,40.0,-86.0
1095,30842,Wisconsin,Place found,45.0,-90.0
1097,30843,United States of America,Place found,38.0,-98.0
1101,30844,Illinois,Place found,40.0,-89.0
1102,30846,Ouachita River,Place found,34.68,-94.32
1107,30847,Ouachita River,Place found,34.68,-94.32
1112,30848,Arkansas,Place found,35.0,-93.0
1115,30849,Ouachita River,Place found,34.68,-94.32
1120,30850,Arkansas,Place found,35.0,-93.0
1123,30851,Ouachita River,Place found,34.68,-94.32
1128,30852,Ouachita River,Place found,34.68,-94.32
1133,30853,Ouachita River,Place found,34.68,-94.32
1138,30854,Arkansas,Place found,35.0,-93.0
1142,30855,Ouachita River,Place found,34.68,-94.32
1147,30859,Arkansas,Place found,35.0,-93.0
1150,30862,Arkansas,Place found,35.0,-93.0
1153,30863,Arkansas,Place found,35.0,-93.0
1156,30865,Ouachita River,Place found,34.68,-94.32
1161,30871,Arkansas,Place found,35.0,-93.0
1164,30874,Ouachita River,Place found,34.68,-94.32
1169,30876,Ouachita River,Place found,34.68,-94.32
1174,30878,Arkansas,Place found,35.0,-93.0
1178,30882,Ouachita River,Place found,34.68,-94.32
1183,30884,Ouachita River,Place found,34.68,-94.32
1188,30885,Ouachita River,Place found,34.68,-94.32
1193,30886,Ouachita River,Place found,34.68,-94.32
1198,30887,Ouachita River,Place found,34.68,-94.32
1203,30889,Ouachita River,Place found,34.68,-94.32
1208,30891,Ouachita River,Place found,34.68,-94.32
1213,30892,Ouachita River,Place found,34.68,-94.32
1218,30893,Arkansas,Place found,35.0,-93.0
1221,30894,Ouachita River,Place found,34.68,-94.32
1226,30895,Ouachita River,Place found,34.68,-94.32
1231,30897,Ouachita River,Place found,34.68,-94.32
1236,30898,Ouachita River,Place found,34.68,-94.32
1241,30899,Ouachita River,Place found,34.68,-94.32
1246,30901,Ouachita River,Place found,34.68,-94.32
1251,30902,Alaska,Place found,65.0,-153.0
1253,30905,Illinois,Place found,40.0,-89.0
1255,30906,Missouri,Place found,38.0,-98.0
1257,30907,Ouachita River,Place found,34.68,-94.32
1262,30908,Ouachita River,Place found,34.68,-94.32
1267,30909,Illinois,Place found,40.0,-89.0
1269,30911,Illinois,Place found,40.0,-89.0
1271,30917,Ohio,Place found,40.0,-80.83
1273,30919,Christian,Place found,36.97,-93.18
1275,30922,Indiana,Place found,40.0,-86.0
1277,30924,Kentucky,Place found,37.0,-85.0
1279,30925,Kentucky,Place found,37.0,-85.0
1281,30926,Illinois,Place found,40.0,-89.0
1283,30927,Illinois,Place found,40.0,-89.0
1285,30944,Christian,Place found,36.97,-93.18
1287,30952,Indiana,Place found,40.0,-86.0
1289,30953,Indiana,Place found,40.0,-86.0
1291,30954,Indiana,Place found,40.0,-86.0
1293,30955,Ohio,Place found,40.0,-80.83
1294,30957,Indiana,Place found,40.0,-86.0
1296,30958,Missouri,Place found,38.0,-98.0
1298,30961,Illinois,Place found,40.0,-89.0
1300,30965,Ohio,Place found,40.0,-80.83
1302,30967,Kentucky,Place found,37.0,-85.0
1304,30968,Illinois,Place found,40.0,-89.0
1306,30969,Ohio,Place found,40.0,-80.83
1307,30979,Missouri,Place found,38.0,-98.0
1309,30980,Ohio,Place found,40.0,-80.83
1311,30983,Illinois,Place found,40.0,-89.0
1314,30984,Illinois,Place found,40.0,-89.0
1316,30985,Missouri,Place found,38.0,-98.0
1319,30988,Kentucky,Place found,37.0,-85.0
1321,30991,Kentucky,Place found,37.0,-85.0
1322,30992,Illinois,Place found,40.0,-89.0
1323,30994,Illinois,Place found,40.0,-89.0
1325,30998,Illinois,Place found,40.0,-89.0
1327,30999,Missouri,Place found,38.0,-98.0
1329,31000,Illinois,Place found,40.0,-89.0
1331,31001,Illinois,Place found,40.0,-89.0
1333,31002,Illinois,Place found,40.0,-89.0
1336,31003,Ohio,Place found,40.0,-80.83
1337,31005,Indiana,Place found,40.0,-86.0
1339,31007,Indiana,Place found,40.0,-86.0
1340,31008,Ohio,Place found,40.0,-80.83
1342,31010,Missouri,Place found,38.0,-98.0
1344,31011,Missouri,Place found,38.0,-98.0
1345,31016,Oklahoma,Place found,35.0,-98.0
1348,31018,Minford,Place found,38.85,-82.85
1350,31020,Illinois,Place found,40.0,-89.0
1352,31022,Missouri,Place found,38.0,-98.0
1355,31024,Ohio,Place found,40.0,-80.83
1357,31026,Ohio,Place found,40.0,-80.83
1360,31029,Illinois,Place found,40.0,-89.0
1362,31031,Illinois,Place found,40.0,-89.0
1364,31032,Illinois,Place found,40.0,-89.0
1366,31034,Illinois,Place found,40.0,-89.0
1367,31038,Illinois,Place found,40.0,-89.0
1369,31043,Missouri,Place found,38.0,-98.0
1372,31044,Illinois,Place found,40.0,-89.0
1374,31045,Illinois,Place found,40.0,-89.0
1376,31046,Illinois,Place found,40.0,-89.0
1378,31047,Ohio,Place found,40.0,-80.83
1380,31048,Wisconsin,Place found,45.0,-90.0
1382,31056,Ouachita River,Place found,34.68,-94.32
1387,31057,Ohio,Place found,40.0,-80.83
1390,31060,Ohio,Place found,40.0,-80.83
1392,31061,Illinois,Place found,40.0,-89.0
1394,31063,Ohio,Place found,40.0,-80.83
1396,31064,Illinois,Place found,40.0,-89.0
1398,31065,Illinois,Place found,40.0,-89.0
1400,31066,Illinois,Place found,40.0,-89.0
1402,31067,Illinois,Place found,40.0,-89.0
1404,31068,Tennessee,Place found,35.5,-85.0
1407,31069,Ouachita River,Place found,34.68,-94.32
1412,31070,Michigan,Place found,44.0,-85.0
1414,31071,Ohio,Place found,40.0,-80.83
1416,31072,Ouachita River,Place found,34.68,-94.32
1421,31073,Illinois,Place found,40.0,-89.0
1423,31075,Missouri,Place found,38.0,-98.0
1425,31077,Illinois,Place found,40.0,-89.0
1427,31078,Illinois,Place found,40.0,-89.0
1429,31080,Illinois,Place found,40.0,-89.0
1431,31083,Illinois,Place found,40.0,-89.0
1433,31085,Illinois,Place found,40.0,-89.0
1435,31090,Ouachita River,Place found,34.68,-94.32
1440,31094,Missouri,Place found,38.0,-98.0
1443,31095,Ouachita River,Place found,34.68,-94.32
1447,31099,Illinois,Place found,40.0,-89.0
1449,31103,Missouri,Place found,38.0,-98.0
1450,31104,Illinois,Place found,40.0,-89.0
1452,31106,Ouachita River,Place found,34.68,-94.32
1457,31109,Ouachita River,Place found,34.68,-94.32
1462,31111,Illinois,Place found,40.0,-89.0
1464,31113,Missouri,Place found,38.0,-98.0
1466,31115,Missouri,Place found,38.0,-98.0
