ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
31151,Sevier,Place found,33.98,-94.25
31151,Alaska,Place found,65,-153
31151,Red River Basin,Place found,,
31153,Ouachita River,Place found,34.68,-94.32
31153,Red River,Place found,34.57,-99.95
31153,Arkansas,Place found,35,-93
31153,Hempstead,Place found,33.72,-93.67
31153,Alaska,Place found,65,-153
31154,Ouachita River,Place found,34.68,-94.32
31154,Red River,Place found,34.57,-99.95
31154,Arkansas,Place found,35,-93
31154,Hempstead,Place found,33.72,-93.67
31154,Alaska,Place found,65,-153
31155,Ouachita River,Place found,34.68,-94.32
31155,Red River,Place found,34.57,-99.95
31155,Arkansas,Place found,35,-93
31155,Hempstead,Place found,33.72,-93.67
31155,Alaska,Place found,65,-153
31158,Arkansas,Place found,35,-93
31158,Phillips,Place found,34.45,-90.83
31158,Alaska,Place found,65,-153
31159,Ouachita River,Place found,34.68,-94.32
31159,Red River,Place found,34.57,-99.95
31159,Arkansas,Place found,35,-93
31159,Howard,Place found,34.1,-94.16
31159,Alaska,Place found,65,-153
31160,Arkansas,Place found,35,-93
31160,Saint Francis,Place found,35.16,-90.77
31160,Alaska,Place found,65,-153
31161,Arkansas,Place found,35,-93
31161,Sevier,Place found,33.98,-94.25
31161,Alaska,Place found,65,-153
31161,Red River Basin,Place found,,
31162,Ouachita River,Place found,34.68,-94.32
31162,Red River,Place found,34.57,-99.95
31162,Arkansas,Place found,35,-93
31162,Hempstead,Place found,33.72,-93.67
31162,Alaska,Place found,65,-153
31163,Ouachita River,Place found,34.68,-94.32
31163,Red River,Place found,34.57,-99.95
31163,Arkansas,Place found,35,-93
31163,Hempstead,Place found,33.72,-93.67
31163,Alaska,Place found,65,-153
31164,Missouri,Place found,38,-98
31164,Saint Charles,Place found,38.77,-90.73
31165,Illinois,Place found,40,-89
31165,Jersey,Place found,39.66,-90.35
31165,Northeast,Cultural Area,,
31166,Illinois,Place found,40,-89
31166,Calhoun,Place found,39.17,-90.65
31166,Northeast,Cultural Area,,
31170,Illinois,Place found,40,-89
31170,Madison,Place found,0,0
31170,Northeast,Cultural Area,,
31171,Illinois,Place found,40,-89
31171,Jersey,Place found,39.66,-90.35
31171,Northeast,Cultural Area,,
31172,Illinois,Place found,40,-89
31172,Calhoun,Place found,39.17,-90.65
31172,Northeast,Cultural Area,,
31174,Illinois,Place found,40,-89
31174,Northeast,Cultural Area,,
31175,Illinois,Place found,40,-89
31175,Northeast,Cultural Area,,
31176,Illinois,Place found,40,-89
31176,Northeast,Cultural Area,,
31177,Missouri,Place found,38,-98
31177,Saint Louis,Place found,38.63,-90.4
31178,Illinois,Place found,40,-89
31178,Hardin,Place found,37.52,-88.52
31178,Northeast,Cultural Area,,
31179,Illinois,Place found,40,-89
31179,Calhoun,Place found,39.17,-90.65
31179,Northeast,Cultural Area,,
31180,Illinois,Place found,40,-89
31180,Jersey,Place found,39.66,-90.35
31180,Northeast,Cultural Area,,
31182,Illinois,Place found,40,-89
31182,Jersey,Place found,39.66,-90.35
31182,Northeast,Cultural Area,,
31183,Illinois,Place found,40,-89
31183,Jersey,Place found,39.66,-90.35
31183,Northeast,Cultural Area,,
31184,Illinois,Place found,40,-89
31184,Jersey,Place found,39.66,-90.35
31184,Northeast,Cultural Area,,
31186,Missouri,Place found,38,-98
31186,Boone,Place found,39.33,-92.33
31188,Illinois,Place found,40,-89
31188,Hancock,Place found,40.52,-91.15
31188,Northeast,Cultural Area,,
31189,Illinois,Place found,40,-89
31189,Calhoun,Place found,39.17,-90.65
31189,Northeast,Cultural Area,,
31190,Illinois,Place found,40,-89
31190,Bond,Place found,38.88,-89.43
31190,Northeast,Cultural Area,,
31191,Illinois,Place found,40,-89
31191,Union,Place found,37.45,-89.25
31191,Northeast,Cultural Area,,
31191,Ouachita River Basin,Place found,,
31192,Missouri,Place found,38,-98
31192,Saint Louis,Place found,38.63,-90.4
31194,Illinois,Place found,40,-89
31194,Northeast,Cultural Area,,
31197,Illinois,Place found,40,-89
31197,Northeast,Cultural Area,,
31198,Illinois,Place found,40,-89
31198,Northeast,Cultural Area,,
31199,Illinois,Place found,40,-89
31199,Jersey,Place found,39.66,-90.35
31199,Grafton,Place found,38.97,-90.42
31199,Northeast,Cultural Area,,
31199,Northeast,Cultural Area,,
31200,Missouri,Place found,38,-98
31200,Callaway,Place found,38.87,-91.9
31201,Illinois,Place found,40,-89
31201,Madison,Place found,0,0
31201,Northeast,Cultural Area,,
31202,Illinois,Place found,40,-89
31202,Northeast,Cultural Area,,
31203,Illinois,Place found,40,-89
31203,Northeast,Cultural Area,,
31204,Illinois,Place found,40,-89
31204,Union,Place found,37.45,-89.25
31204,Northeast,Cultural Area,,
31204,Ouachita River Basin,Place found,,
31206,Illinois,Place found,40,-89
31206,Calhoun,Place found,39.17,-90.65
31206,Northeast,Cultural Area,,
31207,Illinois,Place found,40,-89
31207,Jersey,Place found,39.66,-90.35
31207,Northeast,Cultural Area,,
31210,Illinois,Place found,40,-89
31210,Saint Clair,Place found,38.55,-89.92
31210,Northeast,Cultural Area,,
31211,Ohio,Place found,40,-80.83
31211,Fayette,Place found,39.55,-83.45
31211,Northeast,Cultural Area,,
31212,Illinois,Place found,40,-89
31212,Madison,Place found,0,0
31212,Northeast,Cultural Area,,
31213,Illinois,Place found,40,-89
31213,Union,Place found,37.45,-89.25
31213,Northeast,Cultural Area,,
31213,Ouachita River Basin,Place found,,
31215,Illinois,Place found,40,-89
31215,Calhoun,Place found,39.17,-90.65
31215,Northeast,Cultural Area,,
31216,Illinois,Place found,40,-89
31216,La Salle,Place found,41.35,-88.88
31216,Northeast,Cultural Area,,
31217,Missouri,Place found,38,-98
31217,Boone,Place found,39.33,-92.33
31218,Missouri,Place found,38,-98
31218,Pike,Place found,39.37,-91.17
31218,Ouachita River Basin,Place found,,
31219,Tennessee,Place found,35.5,-85
31219,Southeast,Cultural Area,,
31221,Ohio,Place found,40,-80.83
31221,Knox,Place found,40.4,-82.37
31221,Northeast,Cultural Area,,
31222,Illinois,Place found,40,-89
31222,Greene,Place found,39.35,-90.4
31222,Northeast,Cultural Area,,
31224,Missouri,Place found,38,-98
31224,Cape Girardeau,Place found,37.38,-89.72
31226,Illinois,Place found,40,-89
31226,Adams,Place found,39.97,-91.18
31226,Northeast,Cultural Area,,
31227,Illinois,Place found,40,-89
31227,Adams,Place found,39.97,-91.18
31227,Northeast,Cultural Area,,
31228,Illinois,Place found,40,-89
31228,Schuyler,Place found,40.15,-90.6
31228,Northeast,Cultural Area,,
31229,Illinois,Place found,40,-89
31229,Saint Clair,Place found,38.55,-89.92
31229,Northeast,Cultural Area,,
31230,Missouri,Place found,38,-98
31230,Carter,Place found,36.95,-90.93
31232,Illinois,Place found,40,-89
31232,Calhoun,Place found,39.17,-90.65
31232,Northeast,Cultural Area,,
31235,Illinois,Place found,40,-89
31235,Scott,Place found,39.65,-90.47
31235,Northeast,Cultural Area,,
31236,Illinois,Place found,40,-89
31236,Adams,Place found,39.97,-91.18
31236,Northeast,Cultural Area,,
31237,Ohio,Place found,40,-80.83
31237,Darke,Place found,40.13,-84.62
31237,Northeast,Cultural Area,,
31238,Missouri,Place found,38,-98
31238,Perry,Place found,37.7,-89.83
31239,Missouri,Place found,38,-98
31239,Perry,Place found,37.7,-89.83
31240,Missouri,Place found,38,-98
31240,Perry,Place found,37.7,-89.83
31241,county,Place found,,
31241,Callaway county,Place found,38.87,-91.9
31242,Illinois,Place found,40,-89
31242,La Salle,Place found,41.35,-88.88
31242,Northeast,Cultural Area,,
31243,Illinois,Place found,40,-89
31243,Adams,Place found,39.97,-91.18
31243,Northeast,Cultural Area,,
31244,Ohio,Place found,40,-80.83
31244,Stark,Place found,40.82,-81.37
31244,Northeast,Cultural Area,,
31252,Ohio,Place found,40,-80.83
31252,Miami,Place found,40.5,-84.23
31252,Northeast,Cultural Area,,
31253,Ohio,Place found,40,-80.83
31253,Clark,Place found,39.92,-83.77
31253,Northeast,Cultural Area,,
31253,Ouachita River Basin,Place found,,
31254,Ohio,Place found,40,-80.83
31254,Seneca,Place found,41.12,-83.12
31254,Northeast,Cultural Area,,
31255,Ohio,Place found,40,-80.83
31255,Miami,Place found,40.5,-84.23
31255,Northeast,Cultural Area,,
31256,Ohio,Place found,40,-80.83
31256,Brown,Place found,38.93,-83.87
31256,Northeast,Cultural Area,,
31264,Illinois,Place found,40,-89
31264,Greene,Place found,39.35,-90.4
31264,Northeast,Cultural Area,,
31265,Ohio,Place found,40,-80.83
31265,Delaware,Place found,40.27,-83
31265,Northeast,Cultural Area,,
31269,Ohio,Place found,40,-80.83
31269,Franklin,Place found,39.97,-83.16
31269,Northeast,Cultural Area,,
31270,Ohio,Place found,40,-80.83
31270,Clinton,Place found,39.4,-83.82
31270,Northeast,Cultural Area,,
31272,Indiana,Place found,40,-86
31272,Morgan,Place found,39.42,-86.42
31274,Ohio,Place found,40,-80.83
31274,Northeast,Cultural Area,,
31276,Illinois,Place found,40,-89
31276,Greene,Place found,39.35,-90.4
31276,Northeast,Cultural Area,,
31278,Ohio,Place found,40,-80.83
31278,Coshocton,Place found,40.3,-81.92
31278,Northeast,Cultural Area,,
31279,Ohio,Place found,40,-80.83
31279,Pickaway,Place found,39.65,-83.33
31279,Northeast,Cultural Area,,
31280,Missouri,Place found,38,-98
31280,Lincoln,Place found,39.66,-90.97
31280,Ouachita River Basin,Place found,,
31282,Ohio,Place found,40,-80.83
31282,Ross,Place found,39.35,-83.66
31282,Northeast,Cultural Area,,
31283,Illinois,Place found,40,-89
31283,Saint Clair,Place found,38.55,-89.92
31283,Northeast,Cultural Area,,
31287,Ohio,Place found,40,-80.83
31287,Brown,Place found,38.93,-83.87
31287,Northeast,Cultural Area,,
31288,Ohio,Place found,40,-80.83
31288,Fairfield,Place found,39.75,-82.6
31288,Northeast,Cultural Area,,
31290,Ohio,Place found,40,-80.83
31290,Delaware,Place found,40.27,-83
31290,Northeast,Cultural Area,,
31291,Illinois,Place found,40,-89
31291,Edwards,Place found,38.42,-88.5
31291,Northeast,Cultural Area,,
31292,Ohio,Place found,40,-80.83
31292,Miamisburg,Place found,39.63,-84.28
31292,Northeast,Cultural Area,,
31293,Illinois,Place found,40,-89
31293,Calhoun,Place found,39.17,-90.65
31293,Northeast,Cultural Area,,
31296,Missouri,Place found,38,-98
31296,Ralls,Place found,39.53,-91.63
31297,Illinois,Place found,40,-89
31297,Calhoun,Place found,39.17,-90.65
31297,Northeast,Cultural Area,,
31298,Arizona,Place found,34,-112
31299,Ohio,Place found,40,-80.83
31299,Franklin,Place found,39.97,-83.16
31299,Northeast,Cultural Area,,
31300,Illinois,Place found,40,-89
31300,Union,Place found,37.45,-89.25
31300,Northeast,Cultural Area,,
31300,Ouachita River Basin,Place found,,
31301,Illinois,Place found,40,-89
31301,Union,Place found,37.45,-89.25
31301,Northeast,Cultural Area,,
31301,Ouachita River Basin,Place found,,
31302,Illinois,Place found,40,-89
31302,Randolph,Place found,38.66,-89.85
31302,Northeast,Cultural Area,,
31303,Missouri,Place found,38,-98
31303,Montgomery,Place found,38.97,-91.48
31303,Ouachita River Basin,Place found,,
31305,Ohio,Place found,40,-80.83
31305,Springfield,Place found,39.92,-83.8
31305,Northeast,Cultural Area,,
31306,Ohio,Place found,40,-80.83
31306,Delaware,Place found,40.27,-83
31306,Northeast,Cultural Area,,
31307,Ohio,Place found,40,-80.83
31307,Northeast,Cultural Area,,
31308,Ohio,Place found,40,-80.83
31308,Northeast,Cultural Area,,
31309,Ohio,Place found,40,-80.83
31309,Coshocton,Place found,40.3,-81.92
31309,Northeast,Cultural Area,,
31310,Illinois,Place found,40,-89
31310,Adams,Place found,39.97,-91.18
31310,Northeast,Cultural Area,,
31311,Ohio,Place found,40,-80.83
31311,Franklin,Place found,39.97,-83.16
31311,Northeast,Cultural Area,,
31314,Illinois,Place found,40,-89
31314,Bond,Place found,38.88,-89.43
31314,Northeast,Cultural Area,,
31315,Illinois,Place found,40,-89
31315,Bureau,Place found,41.4,-89.52
31315,Northeast,Cultural Area,,
31317,Ohio,Place found,40,-80.83
31317,Northeast,Cultural Area,,
31318,Illinois,Place found,40,-89
31318,La Salle,Place found,41.35,-88.88
31318,Northeast,Cultural Area,,
31320,Ohio,Place found,40,-80.83
31320,Northeast,Cultural Area,,
31321,Ohio,Place found,40,-80.83
31321,Coshocton,Place found,40.3,-81.92
31321,Northeast,Cultural Area,,
31322,Illinois,Place found,40,-89
31322,Jersey,Place found,39.66,-90.35
31322,Northeast,Cultural Area,,
31324,Illinois,Place found,40,-89
31324,Jerseyville,Place found,39.12,-90.32
31324,Northeast,Cultural Area,,
31325,Illinois,Place found,40,-89
31325,Wabash,Place found,38.45,-87.85
31325,Northeast,Cultural Area,,
31326,Ouachita River,Place found,34.68,-94.32
31326,Red River,Place found,34.57,-99.95
31326,Arkansas,Place found,35,-93
31326,Hempstead,Place found,33.72,-93.67
31326,Alaska,Place found,65,-153
31327,Arkansas,Place found,35,-93
31327,Yancy,Place found,33.83,-93.8
31327,Alaska,Place found,65,-153
31328,Kentucky,Place found,37,-85
31328,Meade,Place found,37.97,-86.23
31330,Kentucky,Place found,37,-85
31331,Michigan,Place found,44,-85
31331,Northeast,Cultural Area,,
31334,Arkansas,Place found,35,-93
31334,Pike,Place found,34.15,-93.67
31334,Alaska,Place found,65,-153
31334,Ouachita River Basin,Place found,,
31335,Tennessee,Place found,35.5,-85
31335,Hamilton,Place found,35.2,-85.15
31336,Illinois,Place found,40,-89
31336,Northeast,Cultural Area,,
31337,Ohio,Place found,40,-80.83
31337,Warren,Place found,39.43,-84.17
31337,Northeast,Cultural Area,,
31338,Ohio,Place found,40,-80.83
31338,Northeast,Cultural Area,,
31339,Ohio,Place found,40,-80.83
31339,Northeast,Cultural Area,,
31342,Kentucky,Place found,37,-85
31342,Hart,Place found,37.3,-85.88
31344,Kentucky,Place found,37,-85
31344,Lewis,Place found,38.53,-83.48
31346,Kentucky,Place found,37,-85
31346,Trigg,Place found,36.8,-87.87
31348,Missouri,Place found,38,-98
31348,Callaway,Place found,38.87,-91.9
31350,Kentucky,Place found,37,-85
31350,Union,Place found,37.65,-87.95
31350,Ouachita River Basin,Place found,,
31351,Illinois,Place found,40,-89
31351,Jersey,Place found,39.66,-90.35
31351,Northeast,Cultural Area,,
31352,Illinois,Place found,40,-89
31352,Union,Place found,37.45,-89.25
31352,Northeast,Cultural Area,,
31352,Ouachita River Basin,Place found,,
31353,Ohio,Place found,40,-80.83
31353,Brown,Place found,38.93,-83.87
31353,Northeast,Cultural Area,,
31354,Ohio,Place found,40,-80.83
31354,Sulphur Grove,Place found,39.85,-84.1
31354,Northeast,Cultural Area,,
31355,Ohio,Place found,40,-80.83
31355,Fayette,Place found,39.55,-83.45
31355,Northeast,Cultural Area,,
31356,Illinois,Place found,40,-89
31356,Bond,Place found,38.88,-89.43
31356,Northeast,Cultural Area,,
31357,Mississippi,Place found,83,-90
31357,Saint Francis River Basin,Place found,,
31358,Ohio,Place found,40,-80.83
31358,Ross,Place found,39.35,-83.66
31358,Northeast,Cultural Area,,
31359,Missouri,Place found,38,-98
31359,Saint Louis,Place found,38.63,-90.4
31361,Arkansas,Place found,35,-93
31361,Southeast,Cultural Area,,
31362,Ouachita River,Place found,34.68,-94.32
31362,Red River,Place found,34.57,-99.95
31362,Arkansas,Place found,35,-93
31362,Nevada,Place found,33.65,-93.33
31362,Alaska,Place found,65,-153
31363,Ouachita River,Place found,34.68,-94.32
31363,Red River,Place found,34.57,-99.95
31363,Arkansas,Place found,35,-93
31363,Hempstead,Place found,33.72,-93.67
31363,Alaska,Place found,65,-153
31364,Ouachita River,Place found,34.68,-94.32
31364,Red River,Place found,34.57,-99.95
31364,Arkansas,Place found,35,-93
31364,Hempstead,Place found,33.72,-93.67
31364,Alaska,Place found,65,-153
31366,Ouachita River,Place found,34.68,-94.32
31366,Red River,Place found,34.57,-99.95
31366,Arkansas,Place found,35,-93
31366,Howard,Place found,34.1,-94.16
31366,Alaska,Place found,65,-153
31367,Ouachita River,Place found,34.68,-94.32
31367,Red River,Place found,34.57,-99.95
31367,Arkansas,Place found,35,-93
31367,Hempstead,Place found,33.72,-93.67
31367,Alaska,Place found,65,-153
31368,Arkansas,Place found,35,-93
31368,Southeast,Cultural Area,,
31371,Ohio,Place found,40,-80.83
31371,Ross,Place found,39.35,-83.66
31371,Northeast,Cultural Area,,
31372,Ohio,Place found,40,-80.83
31372,Northeast,Cultural Area,,
31372,South Central Ohio,Place found,,
31373,Illinois,Place found,40,-89
31373,Grafton,Place found,38.97,-90.42
31373,Northeast,Cultural Area,,
31374,Ouachita River,Place found,34.68,-94.32
31374,Red River,Place found,34.57,-99.95
31374,Arkansas,Place found,35,-93
31374,Hempstead,Place found,33.72,-93.67
31374,Alaska,Place found,65,-153
31376,Illinois,Place found,40,-89
31376,Alexander,Place found,37.18,-89.18
31376,Northeast,Cultural Area,,
31378,Ohio,Place found,40,-80.83
31378,Sulphur Grove,Place found,39.85,-84.1
31378,Northeast,Cultural Area,,
31379,Tennessee,Place found,35.5,-85
31379,Maury,Place found,35.63,-87.66
31380,Illinois,Place found,40,-89
31380,Calhoun,Place found,39.17,-90.65
31380,Northeast,Cultural Area,,
31382,Ouachita River,Place found,34.68,-94.32
31382,Red River,Place found,34.57,-99.95
31382,Arkansas,Place found,35,-93
31382,Nevada,Place found,33.65,-93.33
31382,Alaska,Place found,65,-153
31384,Ohio,Place found,40,-80.83
31384,Hardin,Place found,40.65,-83.67
31384,Northeast,Cultural Area,,
31385,Ouachita River,Place found,34.68,-94.32
31385,Red River,Place found,34.57,-99.95
31385,Arkansas,Place found,35,-93
31385,Howard,Place found,34.1,-94.16
31385,Alaska,Place found,65,-153
31387,Ouachita River,Place found,34.68,-94.32
31387,Red River,Place found,34.57,-99.95
31387,Arkansas,Place found,35,-93
31387,Howard,Place found,34.1,-94.16
31387,Alaska,Place found,65,-153
31388,Illinois,Place found,40,-89
31388,Northeast,Cultural Area,,
31390,Arkansas,Place found,35,-93
31390,Stamps,Place found,33.35,-93.48
31390,Alaska,Place found,65,-153
31391,Missouri,Place found,38,-98
31391,Franklin,Place found,38.43,-91.66
31391,Bourbeuse,Place found,37.97,-91.72
31392,Illinois,Place found,40,-89
31392,Union,Place found,37.45,-89.25
31392,Northeast,Cultural Area,,
31392,Ouachita River Basin,Place found,,
31395,Illinois,Place found,40,-89
31395,Jackson,Place found,37.77,-89.35
31395,Northeast,Cultural Area,,
31398,Ouachita River,Place found,34.68,-94.32
31398,Red River,Place found,34.57,-99.95
31398,Arkansas,Place found,35,-93
31398,Howard,Place found,34.1,-94.16
31398,Alaska,Place found,65,-153
31401,Ohio,Place found,40,-80.83
31401,Montgomery,Place found,39.75,-84.3
31401,Northeast,Cultural Area,,
31401,Ouachita River Basin,Place found,,
31403,Missouri,Place found,38,-98
31405,Ouachita River,Place found,34.68,-94.32
31405,Red River,Place found,34.57,-99.95
31405,Arkansas,Place found,35,-93
31405,Howard,Place found,34.1,-94.16
31405,Alaska,Place found,65,-153
31406,Illinois,Place found,40,-89
31406,Saint Clair,Place found,38.55,-89.92
31406,Northeast,Cultural Area,,
31407,Missouri,Place found,38,-98
31407,Saint Louis,Place found,38.63,-90.4
31409,Ouachita River,Place found,34.68,-94.32
31409,Red River,Place found,34.57,-99.95
31409,Arkansas,Place found,35,-93
31409,Howard,Place found,34.1,-94.16
31409,Alaska,Place found,65,-153
31411,Illinois,Place found,40,-89
31411,Saint Clair,Place found,38.55,-89.92
31411,Northeast,Cultural Area,,
31412,Ouachita River,Place found,34.68,-94.32
31412,Red River,Place found,34.57,-99.95
31412,Arkansas,Place found,35,-93
31412,Hempstead,Place found,33.72,-93.67
31412,Alaska,Place found,65,-153
31413,Ouachita River,Place found,34.68,-94.32
31413,Red River,Place found,34.57,-99.95
31413,Arkansas,Place found,35,-93
31413,Hempstead,Place found,33.72,-93.67
31413,Alaska,Place found,65,-153
31416,Ouachita River,Place found,34.68,-94.32
31416,Red River,Place found,34.57,-99.95
31416,Arkansas,Place found,35,-93
31416,Hempstead,Place found,33.72,-93.67
31416,Alaska,Place found,65,-153
31418,Arkansas,Place found,35,-93
31418,Southeast,Cultural Area,,
31420,Ohio,Place found,40,-80.83
31420,Northeast,Cultural Area,,
31421,Illinois,Place found,40,-89
31421,Union,Place found,37.45,-89.25
31421,Northeast,Cultural Area,,
31421,Ouachita River Basin,Place found,,
31422,Illinois,Place found,40,-89
31422,Calhoun,Place found,39.17,-90.65
31422,Northeast,Cultural Area,,
31423,Illinois,Place found,40,-89
31423,Jackson,Place found,37.77,-89.35
31423,Northeast,Cultural Area,,
31424,Ouachita River,Place found,34.68,-94.32
31424,Red River,Place found,34.57,-99.95
31424,Arkansas,Place found,35,-93
31424,Nevada,Place found,33.65,-93.33
31424,Alaska,Place found,65,-153
31425,Illinois,Place found,40,-89
31425,Northeast,Cultural Area,,
31429,Ouachita River,Place found,34.68,-94.32
31429,Red River,Place found,34.57,-99.95
31429,Arkansas,Place found,35,-93
31429,Howard,Place found,34.1,-94.16
31429,Alaska,Place found,65,-153
31430,Arkansas,Place found,35,-93
31430,Washington,Place found,35.97,-94.23
31430,Alaska,Place found,65,-153
31431,Ouachita River,Place found,34.68,-94.32
31431,Red River,Place found,34.57,-99.95
31431,Arkansas,Place found,35,-93
31431,Hempstead,Place found,33.72,-93.67
31431,Alaska,Place found,65,-153
31432,Arkansas,Place found,35,-93
31432,De Ann,Place found,33.77,-93.55
31432,Alaska,Place found,65,-153
31435,Arkansas,Place found,35,-93
31435,Schaal,Place found,33.82,-93.95
31435,Alaska,Place found,65,-153
31436,Ouachita River,Place found,34.68,-94.32
31436,Red River,Place found,34.57,-99.95
31436,Arkansas,Place found,35,-93
31436,Nevada,Place found,33.65,-93.33
31436,Alaska,Place found,65,-153
31437,Illinois,Place found,40,-89
31437,Jersey,Place found,39.66,-90.35
31437,Northeast,Cultural Area,,
31439,Illinois,Place found,40,-89
31439,Calhoun,Place found,39.17,-90.65
31439,Northeast,Cultural Area,,
31440,Illinois,Place found,40,-89
31440,Hancock,Place found,40.52,-91.15
31440,Northeast,Cultural Area,,
31442,Alaska,Place found,65,-153
31442,Arctic,Cultural Area,,
31443,Illinois,Place found,40,-89
31443,Northeast,Cultural Area,,
31523,Arkansas,Place found,35,-93
31523,Yell,Place found,35,-93.42
31523,Alaska,Place found,65,-153
31524,Arkansas,Place found,35,-93
31524,Yell,Place found,35,-93.42
31524,Alaska,Place found,65,-153
31525,Arkansas,Place found,35,-93
31525,Yell,Place found,35,-93.42
31525,Alaska,Place found,65,-153
31526,Arkansas,Place found,35,-93
31526,Yell,Place found,35,-93.42
31526,Alaska,Place found,65,-153
31527,Arkansas,Place found,35,-93
31527,Yell,Place found,35,-93.42
31527,Alaska,Place found,65,-153
31528,Arkansas,Place found,35,-93
31528,Yell,Place found,35,-93.42
31528,Alaska,Place found,65,-153
31529,Arkansas,Place found,35,-93
31529,Yell,Place found,35,-93.42
31529,Alaska,Place found,65,-153
31530,Arkansas,Place found,35,-93
31530,Yell,Place found,35,-93.42
31530,Alaska,Place found,65,-153
31531,Arkansas,Place found,35,-93
31531,Yell,Place found,35,-93.42
31531,Alaska,Place found,65,-153
31532,Arkansas,Place found,35,-93
31532,Yell,Place found,35,-93.42
31532,Alaska,Place found,65,-153
31533,Arkansas,Place found,35,-93
31533,Yell,Place found,35,-93.42
31533,Alaska,Place found,65,-153
31534,Arkansas,Place found,35,-93
31534,Yell,Place found,35,-93.42
31534,Alaska,Place found,65,-153
31535,Arkansas,Place found,35,-93
31535,Yell,Place found,35,-93.42
31535,Alaska,Place found,65,-153
31536,Arkansas,Place found,35,-93
31536,Yell,Place found,35,-93.42
31536,Alaska,Place found,65,-153
31537,Arkansas,Place found,35,-93
31537,Yell,Place found,35,-93.42
31537,Alaska,Place found,65,-153
31538,Arkansas,Place found,35,-93
31538,Yell,Place found,35,-93.42
31538,Alaska,Place found,65,-153
31539,Arkansas,Place found,35,-93
31539,Yell,Place found,35,-93.42
31539,Alaska,Place found,65,-153
31540,Arkansas,Place found,35,-93
31540,Yell,Place found,35,-93.42
31540,Alaska,Place found,65,-153
31541,Arkansas,Place found,35,-93
31541,Yell,Place found,35,-93.42
31541,Alaska,Place found,65,-153
31542,Arkansas,Place found,35,-93
31542,Yell,Place found,35,-93.42
31542,Alaska,Place found,65,-153
31543,Arkansas,Place found,35,-93
31543,Yell,Place found,35,-93.42
31543,Alaska,Place found,65,-153
31544,Arkansas,Place found,35,-93
31544,Yell,Place found,35,-93.42
31544,Alaska,Place found,65,-153
31545,Arkansas,Place found,35,-93
31545,Yell,Place found,35,-93.42
31545,Alaska,Place found,65,-153
31546,Arkansas,Place found,35,-93
31546,Yell,Place found,35,-93.42
31546,Alaska,Place found,65,-153
31547,Arkansas,Place found,35,-93
31547,Yell,Place found,35,-93.42
31547,Alaska,Place found,65,-153
31548,Arkansas,Place found,35,-93
31548,Yell,Place found,35,-93.42
31548,Alaska,Place found,65,-153
31549,Arkansas,Place found,35,-93
31549,Yell,Place found,35,-93.42
31549,Alaska,Place found,65,-153
31550,Arkansas,Place found,35,-93
31550,Yell,Place found,35,-93.42
31550,Alaska,Place found,65,-153
31551,Arkansas,Place found,35,-93
31551,Yell,Place found,35,-93.42
31551,Alaska,Place found,65,-153
31552,Arkansas,Place found,35,-93
31552,Yell,Place found,35,-93.42
31552,Alaska,Place found,65,-153
31553,Arkansas,Place found,35,-93
31553,Yell,Place found,35,-93.42
31553,Alaska,Place found,65,-153
31554,Arkansas,Place found,35,-93
31554,Yell,Place found,35,-93.42
31554,Alaska,Place found,65,-153
31555,Arkansas,Place found,35,-93
31555,Yell,Place found,35,-93.42
31555,Alaska,Place found,65,-153
31556,Arkansas,Place found,35,-93
31556,Yell,Place found,35,-93.42
31556,Alaska,Place found,65,-153
31557,Arkansas,Place found,35,-93
31557,Yell,Place found,35,-93.42
31557,Alaska,Place found,65,-153
31558,Arkansas,Place found,35,-93
31558,Yell,Place found,35,-93.42
31558,Alaska,Place found,65,-153
31559,Arkansas,Place found,35,-93
31559,Yell,Place found,35,-93.42
31559,Alaska,Place found,65,-153
31560,Arkansas,Place found,35,-93
31560,Yell,Place found,35,-93.42
31560,Alaska,Place found,65,-153
31561,Arkansas,Place found,35,-93
31561,Yell,Place found,35,-93.42
31561,Alaska,Place found,65,-153
31562,Arkansas,Place found,35,-93
31562,Yell,Place found,35,-93.42
31562,Alaska,Place found,65,-153
31593,Ouachita River,Place found,34.68,-94.32
31593,Red River,Place found,34.57,-99.95
31593,Arkansas,Place found,35,-93
31593,Howard,Place found,34.1,-94.16
31593,Alaska,Place found,65,-153
31597,Ouachita River,Place found,34.68,-94.32
31597,Red River,Place found,34.57,-99.95
31597,Arkansas,Place found,35,-93
31597,Howard,Place found,34.1,-94.16
31597,Schaal,Place found,33.82,-93.95
31598,Ouachita River,Place found,34.68,-94.32
31598,Red River,Place found,34.57,-99.95
31598,Arkansas,Place found,35,-93
31598,Howard,Place found,34.1,-94.16
31598,Alaska,Place found,65,-153
31599,Ouachita River,Place found,34.68,-94.32
31599,Red River,Place found,34.57,-99.95
31599,Arkansas,Place found,35,-93
31599,Hempstead,Place found,33.72,-93.67
31599,Alaska,Place found,65,-153
31601,Ouachita River,Place found,34.68,-94.32
31601,Red River,Place found,34.57,-99.95
31601,Arkansas,Place found,35,-93
31601,Hempstead,Place found,33.72,-93.67
31601,Alaska,Place found,65,-153
31602,Ouachita River,Place found,34.68,-94.32
31602,Red River,Place found,34.57,-99.95
31602,Arkansas,Place found,35,-93
31602,Howard,Place found,34.1,-94.16
31602,Alaska,Place found,65,-153
31605,Illinois,Place found,40,-89
