ObjectID,Term,ThesXrefType,LatitudeNumber,LongitudeNumber
30382,Leflore county,Place found,33.52,-90.22
30382,Oklahoma,Place found,35,-98
30382,Le Flore,Place found,34.9,-94.73
30382,Spiro,Place found,35.23,-94.62
30382,Southeast,Cultural Area,,
30382,Spiro Mounds,Place found,,
30382,Craig Mound,Place found,,
30383,Southeast,Cultural Area,,
30384,Illinois,Place found,40,-89
30384,Northeast,Cultural Area,,
30385,Illinois,Place found,40,-89
30385,Pike,Place found,39.6,-90.82
30385,Bedford,Place found,39.52,-90.58
30385,Northeast,Cultural Area,,
30385,Northeast,Cultural Area,,
30385,Ouachita River Basin,Place found,,
30386,Southeast,Cultural Area,,
30387,Leflore county,Place found,33.52,-90.22
30387,Oklahoma,Place found,35,-98
30387,Le Flore,Place found,34.9,-94.73
30387,Spiro,Place found,35.23,-94.62
30387,Southeast,Cultural Area,,
30387,Spiro Mounds,Place found,,
30387,Craig Mound,Place found,,
30388,Illinois,Place found,40,-89
30388,Pike,Place found,39.6,-90.82
30388,Bedford,Place found,39.52,-90.58
30388,Northeast,Cultural Area,,
30388,Ouachita River Basin,Place found,,
30389,Leflore county,Place found,33.52,-90.22
30389,Oklahoma,Place found,35,-98
30389,Le Flore,Place found,34.9,-94.73
30389,Spiro,Place found,35.23,-94.62
30389,Southeast,Cultural Area,,
30389,Spiro Mounds,Place found,,
30389,Craig Mound,Place found,,
30391,Illinois,Place found,40,-89
30391,Pike,Place found,39.6,-90.82
30391,Bedford,Place found,39.52,-90.58
30391,Northeast,Cultural Area,,
30391,Ouachita River Basin,Place found,,
30392,Ohio,Place found,40,-80.83
30392,Licking,Place found,40.83,-82.5
30392,Northeast,Cultural Area,,
30393,Illinois,Place found,40,-89
30393,Jackson,Place found,37.77,-89.35
30393,Northeast,Cultural Area,,
30394,Arkansas,Place found,35,-93
30394,Southeast,Cultural Area,,
30395,Southeast,Cultural Area,,
30397,Illinois,Place found,40,-89
30397,Madison,Place found,0,0
30397,Northeast,Cultural Area,,
30398,Ohio,Place found,40,-80.83
30398,Cincinnati,Place found,39.15,-84.45
30398,Little Miami River,Place found,39.82,-83.57
30398,Northeast,Cultural Area,,
30399,Georgia,Place found,32,-84
30399,Talbot,Place found,32.7,-84.5
30400,Ohio,Place found,40,-80.83
30400,Medina,Place found,41.1,-81.88
30400,Northeast,Cultural Area,,
30402,Mesoamerica,Cultural Area,,
30403,Mesoamerica,Cultural Area,,
30405,Illinois,Place found,40,-89
30405,Knox,Place found,40.93,-90.2
30405,Northeast,Cultural Area,,
30406,Mesoamerica,Cultural Area,,
30407,Panama,Place found,9,-80
30407,Mesoamerica,Cultural Area,,
30409,Missouri,Place found,38,-98
30409,Saint Louis,Place found,38.63,-90.4
30410,Mesoamerica,Cultural Area,,
30410,Central Mexico,Place found,,
30410,West Mexico,Place found,,
30411,Mesoamerica,Cultural Area,,
30411,Central Mexico,Place found,,
30411,West Mexico,Place found,,
30412,Illinois,Place found,40,-89
30412,Jackson,Place found,37.77,-89.35
30412,Northeast,Cultural Area,,
30413,Illinois,Place found,40,-89
30413,Saint Clair,Place found,38.55,-89.92
30413,Northeast,Cultural Area,,
30414,México,Place found,23,-102
30414,Mesoamerica,Cultural Area,,
30414,Central Mexico,Place found,,
30415,México,Place found,23,-102
30415,Mesoamerica,Cultural Area,,
30417,Michigan,Place found,44,-85
30417,Eaton,Place found,42.6,-84.85
30418,Mesoamerica,Cultural Area,,
30419,México,Place found,23,-102
30419,Mesoamerica,Cultural Area,,
30419,Mesoamerica,Cultural Area,,
30420,Ohio,Place found,40,-80.83
30420,Marion,Place found,40.58,-83.17
30420,Northeast,Cultural Area,,
30422,México,Place found,23,-102
30422,Mesoamerica,Cultural Area,,
30422,Mesoamerica,Cultural Area,,
30423,Illinois,Place found,40,-89
30423,Pulaski,Place found,37.22,-89.15
30423,Northeast,Cultural Area,,
30424,Ohio,Place found,40,-80.83
30424,Northeast,Cultural Area,,
30425,México,Place found,23,-102
30425,Mesoamerica,Cultural Area,,
30425,Valley of Mexico,Place found,,
30426,Indiana,Place found,40,-86
30426,Madison,Place found,40.18,-85.67
30428,Mesoamerica,Cultural Area,,
30429,Indiana,Place found,40,-86
30429,Vigo,Place found,39.47,-87.4
30431,México,Place found,23,-102
30431,Mesoamerica,Cultural Area,,
