ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
42658,55524,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9E=
42659,55525,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9I=
42660,55526,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9M=
40799,55527,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9Q=
40812,55528,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9U=
40811,55529,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9Y=
40810,55530,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9c=
40809,55531,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9g=
40808,55532,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9k=
40807,55533,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9o=
40806,55534,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9s=
40805,55535,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9w=
40804,55536,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa90=
40803,55537,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa94=
40802,55538,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa98=
40801,55539,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa+A=
40110,55625,Place made,1,North America,,United States,,Nevada,Reno,,,,,,,39.52963,-119.8138,http://www.geonames.org/5511077/reno.html,AAAAADpPa/I=
43153,55626,Place made,1,Europe,,Switzerland,,,Zurich,,,,,,,47.36667,8.55,http://www.geonames.org/2657896/zuerich.html,AAAAADpPa/M=
42696,55627,Place made,1,Europe,,England,,,London,,,,,,,1.50853,-0.12574,http://www.geonames.org/2643743/london.html,AAAAADpPa/Q=
2645,55772,Place made,1,North America,Mesoamerica,Mexico,Maya area,probably Chiapas,,,Western periphery,,,,,23,-102,http://www.geonames.org/3996063/mexico.html,AAAAADpPbEs=
39880,55824,Place made,1,Asia,,China,,,,,,,,,,35,105,http://www.geonames.org/1814991/people-s-republic-of-china.html,AAAAADpPbFQ=
40150,55825,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPbFU=
43185,55826,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPbFY=
