ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp,lat,lon,name,admin1,admin2,cc
40168,55142,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,The Museum of Modern Art,,40.76121,-73.97708,http://www.geonames.org/5128211/museum-of-modern-art.html,AAAAADpPauQ=,40.78343,-73.96625,Manhattan,New York,New York County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40169,55143,Place made,1,North America,,United States,,New York,New York,,,,,Club Cornich,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPauU=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40170,55144,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPauY=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40516,55145,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPauc=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
38453,55148,Place collected,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPauk=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40767,55151,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaus=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41113,55152,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPauw=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41114,55153,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPau0=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
41115,55154,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPau4=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40423,55197,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaw8=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40424,55198,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaxA=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40425,55199,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPaxE=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40201,55201,Place made,1,North America,,United States,,Wisconsin,Woodman,,,,,,,43.08998,-90.80124,http://www.geonames.org/5279654/woodman.html,AAAAADpPaxM=,43.13443,-90.7054,Boscobel,Wisconsin,Grant County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
43071,55202,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPaxQ=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
2020,55205,Place made,1,North America,American southwest,United States,Rio Grande,New Mexico,Cochiti Pueblo,,,,,,,35.60753,-106.34725,http://www.geonames.org/5462496/cochiti-pueblo.html,AAAAADpPaxU=,35.51476,-106.36586,Santo Domingo Pueblo,New Mexico,Sandoval County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
2028,55213,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPax0=,35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
2029,55214,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPax4=,35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
2030,55249,Place made,1,North America,American southwest,United States,Colorado Plateau,New Mexico,Acoma Pueblo,,,,,,,34.89644,-107.58172,http://www.geonames.org/5454217/acoma-pueblo.html,AAAAADpPayA=,35.03279,-107.61396,Skyline-Ganipa,New Mexico,Cibola County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40493,55250,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,www.geonames.org/6252001/united-states.html,AAAAADpPayE=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40494,55251,Place made,1,North America,,United States,,,,,,,,Imperial Valley,,32.79081,-115.53583,http://www.geonames.org/7428340/imperial-valley.html,AAAAADpPayI=,32.792,-115.56305,El Centro,California,Imperial County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40496,55253,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPayQ=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40497,55254,Place made,1,Asia,,Indonesia,,,,,,,,Java,,-5,120,http://www.geonames.org/1643084/republic-of-indonesia.html,AAAAADpPayU=,-4.9711,120.1127,Palattae,South Sulawesi,,ID
,,,,,,,,,,,,,,,,,,,,,,,,,
40498,55255,Place made,1,Asia,,Indonesia,,,,,,,,,,-5,120,http://www.geonames.org/1643084/republic-of-indonesia.html,AAAAADpPayY=,-4.9711,120.1127,Palattae,South Sulawesi,,ID
,,,,,,,,,,,,,,,,,,,,,,,,,
40499,55256,Place made,1,South America,,Venezuela,,,,,,,,,,8,-66,http://www.geonames.org/3625428/bolivarian-republic-of-venezuela.html,AAAAADpPayc=,7.41537,-65.18961,Maripa,Bolivar,Municipio Sucre,VE
,,,,,,,,,,,,,,,,,,,,,,,,,
43412,55258,Place made,1,North America,,United States,,New York,New York,,,,,,,40.71427,-74.00597,http://www.geonames.org/5128581/new-york-city.html,AAAAADpPayg=,40.71427,-74.00597,New York City,New York,,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42813,55275,Place made,1,North America,,United States,,California,San Francisco,,,,,,,37.77493,-122.41942,http://www.geonames.org/5391959/san-francisco.html,AAAAADpPay0=,37.77493,-122.41942,San Francisco,California,San Francisco County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40413,55279,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPay8=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40789,55392,Place made,1,North America,,United States,,California,San Francisco,,,,,San Francisco Bay,,37.70826,-122.28025,http://www.geonames.org/5391961/san-francisco-bay.html,AAAAADpPa30=,37.76521,-122.24164,Alameda,California,Alameda County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
39786,55498,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa8A=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40508,55500,Place made,1,North America,,United States,,New York,New York,,,,,,,40.78343,-73.96625,http://www.geonames.org/5125771/manhattan.html,AAAAADpPa8I=,40.78343,-73.96625,Manhattan,New York,New York County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42653,55519,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa8w=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42654,55520,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa80=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42655,55521,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa84=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42656,55522,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa88=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42657,55523,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9A=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42658,55524,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9E=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42659,55525,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9I=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
42660,55526,Place made,1,North America,,United States,,Pennsylvania,Philadelphia,,,,,,,39.95233,-75.16379,http://www.geonames.org/4560349/philadelphia.html,AAAAADpPa9M=,39.95233,-75.16379,Philadelphia,Pennsylvania,Philadelphia County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40799,55527,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9Q=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40812,55528,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9U=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40811,55529,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9Y=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40810,55530,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9c=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
