ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
49955,64353,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5128581/new-york-city.html,AAAAAEZqyaU=
50774,12370,Place made,1,North America,,United States,,Texas,Midway,,,,,Ferguson Unit,,,,http://www.geonames.org/4690406/texas-department-of-criminal-justice-jim-ferguson-unit.html,AAAAAEh7iow=
50774,12370,Place made,1,North America,,United States,,Texas,Midway,,,,,Ferguson Unit,,,,http://www.geonames.org/4690406/texas-department-of-criminal-justice-jim-ferguson-unit.html,AAAAAEh7iow=
50775,12373,Place made,1,North America,,United States,,Tennessee,Knoxville,,,,,,,,,http://www.geonames.org/4634946/knoxville.html,AAAAAEiBD/Y=
50775,12373,Place made,1,North America,,United States,,Tennessee,Knoxville,,,,,,,,,http://www.geonames.org/4634946/knoxville.html,AAAAAEiBD/Y=
50314,12377,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEghzvo=
50314,12377,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEghzvo=
50442,12378,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEgi2xg=
50442,12378,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEgi2xg=
50578,12379,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEgzfMs=
50578,12379,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEgzfMs=
50696,12380,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEg5ZDU=
50696,12380,Place made,1,North America,,United States,,Massachusetts,Northampton,,,,,,,,,http://www.geonames.org/4945819/northampton.html,AAAAAEg5ZDU=
51241,12532,Place made,1,Europe,,Serbia,,missing,Gradleta,,,,,,,,,http://www.geonames.org/6290252/serbia.html,AAAAAEyXtbk=
51241,12532,Place made,1,Europe,,Serbia,,missing,Gradleta,,,,,,,,,http://www.geonames.org/6290252/serbia.html,AAAAAEyXtbk=
51242,12539,Place made,1,North America,,United States,,New York,New York,,,,,Ellis Island,,,,http://www.geonames.org/5097612/ellis-island.html,AAAAAEyZML4=
51242,12539,Place made,1,North America,,United States,,New York,New York,,,,,Ellis Island,,,,http://www.geonames.org/5097612/ellis-island.html,AAAAAEyZML4=
51243,12540,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5097612/ellis-island.html,AAAAAEyZOQs=
